engine,article,alias
,https://en.wikipedia.org/wiki/Split-single,
,https://en.wikipedia.org/wiki/Radial_engine,
V12,https://en.wikipedia.org/wiki/V12_engine,V12 engine
V12,https://en.wikipedia.org/wiki/V12_engine,V-12
V8,https://en.wikipedia.org/wiki/V8_engine,V8 engine
V8,https://en.wikipedia.org/wiki/V8_engine,V-8
V8,https://en.wikipedia.org/wiki/V8_engine,oil changes
flat engine,https://en.wikipedia.org/wiki/Flat_engine,O engine
flat engine,https://en.wikipedia.org/wiki/Flat_engine,horizontally opposed
flat engine,https://en.wikipedia.org/wiki/Flat_engine,boxer
V engine,https://en.wikipedia.org/wiki/V_engine,Vee engine
W16,https://en.wikipedia.org/wiki/W16_engine,W16 engine
V10,https://en.wikipedia.org/wiki/V10_engine,V10 engine
V10,https://en.wikipedia.org/wiki/V10_engine,V-10
,https://en.wikipedia.org/wiki/Straight_engine,
,https://en.wikipedia.org/wiki/Rotary_engine,
straight-six,https://en.wikipedia.org/wiki/Straight-six_engine,Straight-six engine
straight-six,https://en.wikipedia.org/wiki/Straight-six_engine,straight 6
straight-six,https://en.wikipedia.org/wiki/Straight-six_engine,slant 6
straight-six,https://en.wikipedia.org/wiki/Straight-six_engine,inline-six
straight-six,https://en.wikipedia.org/wiki/Straight-six_engine,inline 6
straight-six,https://en.wikipedia.org/wiki/Straight-six_engine,I6
straight-six,https://en.wikipedia.org/wiki/Straight-six_engine,I-6
straight-six,https://en.wikipedia.org/wiki/Straight-six_engine,L6
VR6 engine,https://en.wikipedia.org/wiki/VR6_engine,No es cierto.. Puro pdo
,https://en.wikipedia.org/wiki/W_engine,
H engine,https://en.wikipedia.org/wiki/H_engine,H-block
H engine,https://en.wikipedia.org/wiki/H_engine,H block
straight-five,https://en.wikipedia.org/wiki/Straight-five_engine,straight 5
straight-five,https://en.wikipedia.org/wiki/Straight-five_engine,inline-five
straight-five,https://en.wikipedia.org/wiki/Straight-five_engine,inline 5
straight-five,https://en.wikipedia.org/wiki/Straight-five_engine,I5
straight-five,https://en.wikipedia.org/wiki/Straight-five_engine,I-5
,https://en.wikipedia.org/wiki/Opposed-piston_engine,
,https://en.wikipedia.org/wiki/U_engine,
straight-four,https://en.wikipedia.org/wiki/Inline-four_engine,straight 4
straight-four,https://en.wikipedia.org/wiki/Inline-four_engine,slant-four
straight-four,https://en.wikipedia.org/wiki/Inline-four_engine,Inline-four engine
straight-four,https://en.wikipedia.org/wiki/Inline-four_engine,inline-four
straight-four,https://en.wikipedia.org/wiki/Inline-four_engine,inline 4
straight-four,https://en.wikipedia.org/wiki/Inline-four_engine,I4
straight-four,https://en.wikipedia.org/wiki/Inline-four_engine,four-cylinder
straight-four,https://en.wikipedia.org/wiki/Inline-four_engine,L4
straight-four,https://en.wikipedia.org/wiki/Inline-four_engine,I-4
V-twin,https://en.wikipedia.org/wiki/V-twin_engine,Vee-twin
V-twin,https://en.wikipedia.org/wiki/V-twin_engine,V twin
V-twin,https://en.wikipedia.org/wiki/V-twin_engine,V-2
V-twin,https://en.wikipedia.org/wiki/V-twin_engine,V2
straight-twin,https://en.wikipedia.org/wiki/Straight-twin_engine,straight-two
straight-twin,https://en.wikipedia.org/wiki/Straight-twin_engine,straight 2
straight-twin,https://en.wikipedia.org/wiki/Straight-twin_engine,inline-two
straight-twin,https://en.wikipedia.org/wiki/Straight-twin_engine,inline-twin
straight-twin,https://en.wikipedia.org/wiki/Straight-twin_engine,inline 2
straight-twin,https://en.wikipedia.org/wiki/Straight-twin_engine,I2
straight-twin,https://en.wikipedia.org/wiki/Straight-twin_engine,I-2
straight-ten,https://en.wikipedia.org/wiki/Straight-10_engine,straight-10
straight-ten,https://en.wikipedia.org/wiki/Straight-10_engine,straight 10
straight-ten,https://en.wikipedia.org/wiki/Straight-10_engine,inline-ten
straight-ten,https://en.wikipedia.org/wiki/Straight-10_engine,inline-10
straight-ten,https://en.wikipedia.org/wiki/Straight-10_engine,inline 10
straight-ten,https://en.wikipedia.org/wiki/Straight-10_engine,I-10
straight-ten,https://en.wikipedia.org/wiki/Straight-10_engine,L10
straight-ten,https://en.wikipedia.org/wiki/Straight-10_engine,I10
straight-14,https://en.wikipedia.org/wiki/Straight-14_engine,straight-fourteen
straight-14,https://en.wikipedia.org/wiki/Straight-14_engine,straight 14
straight-14,https://en.wikipedia.org/wiki/Straight-14_engine,L14
straight-14,https://en.wikipedia.org/wiki/Straight-14_engine,inline-14
straight-14,https://en.wikipedia.org/wiki/Straight-14_engine,inline 14
straight-14,https://en.wikipedia.org/wiki/Straight-14_engine,I14
straight-14,https://en.wikipedia.org/wiki/Straight-14_engine,I-14
V4,https://en.wikipedia.org/wiki/V4_engine,V4 engine
V4,https://en.wikipedia.org/wiki/V4_engine,V-4
V16,https://en.wikipedia.org/wiki/V16_engine,V16 engine
V16,https://en.wikipedia.org/wiki/V16_engine,V-16
W18,https://en.wikipedia.org/wiki/W18_engine,W18 engine
straight-eight,https://en.wikipedia.org/wiki/Straight-eight_engine,straight 8
straight-eight,https://en.wikipedia.org/wiki/Straight-eight_engine,inline-eight
straight-eight,https://en.wikipedia.org/wiki/Straight-eight_engine,inline 8
straight-eight,https://en.wikipedia.org/wiki/Straight-eight_engine,I8
straight-eight,https://en.wikipedia.org/wiki/Straight-eight_engine,I-8
straight-eight,https://en.wikipedia.org/wiki/Straight-eight_engine,L8
,https://en.wikipedia.org/wiki/W12_engine,
straight-three,https://en.wikipedia.org/wiki/Straight-three_engine,straight-triple
straight-three,https://en.wikipedia.org/wiki/Straight-three_engine,straight 3
straight-three,https://en.wikipedia.org/wiki/Straight-three_engine,inline-triple
straight-three,https://en.wikipedia.org/wiki/Straight-three_engine,inline-three
straight-three,https://en.wikipedia.org/wiki/Straight-three_engine,inline 3
straight-three,https://en.wikipedia.org/wiki/Straight-three_engine,I-3
straight-three,https://en.wikipedia.org/wiki/Straight-three_engine,I3
flat-twin,https://en.wikipedia.org/wiki/Flat_twin_engine,O-2
flat-twin,https://en.wikipedia.org/wiki/Flat_twin_engine,flat-two
flat-twin,https://en.wikipedia.org/wiki/Flat_twin_engine,flat 2
flat-twin,https://en.wikipedia.org/wiki/Flat_twin_engine,F-2
flat-twin,https://en.wikipedia.org/wiki/Flat_twin_engine,F2
flat-twin,https://en.wikipedia.org/wiki/Flat_twin_engine,O2
tandem twin,,U-2
tandem twin,,tandem-twin
tandem twin,,U2
flat-four,https://en.wikipedia.org/wiki/Flat-four_engine,O4
flat-four,https://en.wikipedia.org/wiki/Flat-four_engine,horizontally opposed 4
square-four,,U4
flat-four,https://en.wikipedia.org/wiki/Flat-four_engine,flat four engine
flat-four,https://en.wikipedia.org/wiki/Flat-four_engine,flat 4
flat-four,https://en.wikipedia.org/wiki/Flat-four_engine,F-4
flat-four,https://en.wikipedia.org/wiki/Flat-four_engine,O-4
flat-four,https://en.wikipedia.org/wiki/Flat-four_engine,F4
W8,https://en.wikipedia.org/wiki/W8_engine,W8 engine
V24,https://en.wikipedia.org/wiki/V24_engine,V24 engine
V24,https://en.wikipedia.org/wiki/V24_engine,V-24
V5,https://en.wikipedia.org/wiki/V5_engine,V5 engine
V5,https://en.wikipedia.org/wiki/V5_engine,V-5
flat-eight,https://en.wikipedia.org/wiki/Flat-eight_engine,O8
flat-eight,https://en.wikipedia.org/wiki/Flat-eight_engine,O-8
flat-eight,https://en.wikipedia.org/wiki/Flat-eight_engine,horizontally opposed 8
flat-eight,https://en.wikipedia.org/wiki/Flat-eight_engine,flat eight
flat-eight,https://en.wikipedia.org/wiki/Flat-eight_engine,flat 8
flat-eight,https://en.wikipedia.org/wiki/Flat-eight_engine,F8
